date;id_station;id_network;type;latitude;longitude;altitude;area_adm_1;area_adm_2;name;value;value_max
28/12/16 22:00;DEZ2621;Eurdep;air;52.76;13.03;;Germany;KREMMEN;KREMMEN;7.25;7.25
29/12/16 12:00;DEZ2624;Eurdep;air;52.46;14.22;;Germany;HEINERSDORF;HEINERSDORF;6.632;7.0
29/12/16 12:00;DEZ2627;Eurdep;air;52.07;14.75;;Germany;RATZDORF;RATZDORF;5.998;6.38
29/12/16 12:00;DEZ2628;Eurdep;air;52.24;14.58;;Germany;WIESENAU;WIESENAU;6.885;7.0
29/12/16 12:00;DEZ2631;Eurdep;air;53.16;12.76;;Germany;FLECKEN ZECHLIN;FLECKEN ZECHLIN;7.481;7.0
29/12/16 12:00;DEZ2633;Eurdep;air;52.97;12.99;;Germany;LINDOW;LINDOW;6.669;6.93
29/12/16 12:00;DEZ2634;Eurdep;air;52.91;12.59;;Germany;LÖGOW;LÖGOW;7.186;7.47
29/12/16 12:00;DEZ2635;Eurdep;air;53.04;12.86;;Germany;SCHWANOW;SCHWANOW;7.052;7.22
28/12/16 22:00;DEZ2637;Eurdep;air;52.96;11.94;;Germany;BAD WILSNACK;BAD WILSNACK;7.31;7.31
29/12/16 12:00;DEZ2641;Eurdep;air;51.94;14.69;;Germany;GUBEN;GUBEN;7.949;8.18
29/12/16 12:00;DEZ2643;Eurdep;air;53.16;14.35;;Germany;FRIEDRICHSTHAL;FRIEDRICHSTHAL;5.025;5.24
29/12/16 12:00;DEZ2645;Eurdep;air;53.37;13.7;;Germany;WITTSTOCK;WITTSTOCK;7.97;8.18
29/12/16 12:00;DEZ2646;Eurdep;air;52.99;14.14;;Germany;STOLPE;STOLPE;7.069;7.31
29/12/16 12:00;DEZ2648;Eurdep;air;54.13;11.87;;Germany;BAD DOBERAN;BAD DOBERAN;7.853;8.01
29/12/16 12:00;DEZ2650;Eurdep;air;54.25;12.25;;Germany;GRAAL-MÜRITZ;GRAAL-MÜRITZ;8.07;8.32
29/12/16 12:00;DEZ2654;Eurdep;air;53.63;12.91;;Germany;KITTENDORF;KITTENDORF;7.747;7.95
29/12/16 12:00;DEZ2655;Eurdep;air;53.85;12.77;;Germany;SCHORRENTIN;SCHORRENTIN;8.236;8.49
28/12/16 22:00;DEZ2656;Eurdep;air;53.94;11.97;;Germany;KLEIN BELITZ;KLEIN BELITZ;7.82;7.82
29/12/16 12:00;DEZ2657;Eurdep;air;53.68;12.36;;Germany;KUCHELMIß;KUCHELMIß;8.153;8.31
29/12/16 12:00;DEZ2658;Eurdep;air;53.89;12.46;;Germany;NEU HEINDE;NEU HEINDE;7.582;7.79
